k,coverage,strat
12,113,Random
13,114,Random
14,136,Random
15,147,Random
16,151,Random
17,152,Random
18,155,Random
19,159,Random
20,162,Random
21,164,Random
22,166,Random
23,183,Random
24,184,Random
25,186,Random
26,189,Random
27,191,Random
28,197,Random
29,199,Random
30,208,Random
31,310,Random
32,313,Random
33,314,Random
34,316,Random
35,341,Random
36,342,Random
37,343,Random
38,344,Random
39,348,Random
40,382,Random
41,384,Random
42,389,Random
43,389,Random
44,393,Random
45,402,Random
46,406,Random
47,408,Random
48,427,Random
49,441,Random
50,482,Random
51,483,Random
52,524,Random
53,525,Random
54,547,Random
55,569,Random
56,572,Random
57,574,Random
58,576,Random
59,578,Random
60,842,Random
61,932,Random
62,934,Random
63,938,Random
64,940,Random
65,943,Random
66,973,Random
67,975,Random
68,982,Random
69,984,Random
70,1021,Random
71,1022,Random
72,1024,Random
73,1038,Random
74,1040,Random
75,1042,Random
76,1065,Random
77,1066,Random
78,1081,Random
79,1083,Random
80,1084,Random
81,1086,Random
82,1097,Random
83,1098,Random
84,1186,Random
85,1188,Random
86,1190,Random
87,1193,Random
88,1207,Random
89,1212,Random
90,1215,Random
91,1216,Random
92,1219,Random
93,1226,Random
94,1228,Random
95,1231,Random
96,1232,Random
97,1238,Random
98,1240,Random
99,1241,Random
100,1243,Random
101,1246,Random
102,1329,Random
103,1330,Random
104,1397,Random
105,1399,Random
106,1403,Random
107,1405,Random
108,1407,Random
109,1509,Random
110,1511,Random
111,1513,Random
112,1518,Random
113,1520,Random
114,1525,Random
115,1526,Random
116,1592,Random
117,1604,Random
118,1610,Random
119,1619,Random
120,1620,Random
121,1632,Random
122,2040,Random
123,2042,Random
124,2046,Random
125,2414,Random
126,2418,Random
127,2419,Random
128,2419,Random
129,2623,Random
130,2636,Random
131,2639,Random
132,2661,Random
133,2663,Random
134,2665,Random
135,2667,Random
136,2668,Random
1,3,Random
2,19,Random
3,27,Random
4,30,Random
5,440,Random
6,443,Random
7,445,Random
8,513,Random
9,555,Random
10,556,Random
11,557,Random
12,561,Random
13,563,Random
14,565,Random
15,571,Random
16,607,Random
17,609,Random
18,612,Random
19,614,Random
20,644,Random
21,646,Random
22,650,Random
23,738,Random
24,740,Random
25,748,Random
26,752,Random
27,754,Random
28,756,Random
29,758,Random
30,767,Random
31,788,Random
32,790,Random
33,792,Random
34,795,Random
35,798,Random
36,807,Random
37,845,Random
38,1213,Random
39,1222,Random
40,1227,Random
41,1243,Random
42,1245,Random
43,1248,Random
44,1249,Random
45,1252,Random
46,1270,Random
47,1272,Random
48,1274,Random
49,1276,Random
50,1301,Random
51,1303,Random
52,1316,Random
53,1321,Random
54,1323,Random
55,1324,Random
56,1326,Random
57,1337,Random
58,1439,Random
59,1439,Random
60,1441,Random
61,1449,Random
62,1451,Random
63,1490,Random
64,1573,Random
65,1574,Random
66,1574,Random
67,1576,Random
68,1582,Random
69,1599,Random
70,1603,Random
71,1605,Random
72,1609,Random
73,1610,Random
74,1631,Random
75,1632,Random
76,1633,Random
77,1635,Random
78,1649,Random
79,1650,Random
80,1652,Random
81,1653,Random
82,1669,Random
83,1691,Random
84,1693,Random
85,1697,Random
86,1711,Random
87,2319,Random
88,2523,Random
89,2527,Random
90,2529,Random
91,2530,Random
92,2596,Random
93,2610,Random
94,2613,Random
95,2622,Random
96,2636,Random
97,2638,Random
98,2639,Random
99,2641,Random
100,2643,Random
101,2647,Random
102,2648,Random
103,2650,Random
104,2652,Random
105,2654,Random
106,2656,Random
107,2658,Random
108,2661,Random
109,2684,Random
110,2685,Random
111,2686,Random
112,2709,Random
113,2711,Random
114,2721,Random
115,2824,Random
116,2825,Random
117,2826,Random
118,2829,Random
119,2830,Random
120,2871,Random
121,3134,Random
122,3136,Random
123,3138,Random
124,3140,Random
125,3144,Random
126,3146,Random
127,3149,Random
128,3160,Random
129,3161,Random
130,3165,Random
131,3170,Random
132,3177,Random
133,3267,Random
134,3270,Random
135,3272,Random
136,3272,Random
1,6,Random
2,21,Random
3,43,Random
4,48,Random
5,53,Random
6,143,Random
7,148,Random
8,187,Random
9,189,Random
10,190,Random
11,394,Random
12,395,Random
13,397,Random
14,399,Random
15,402,Random
16,402,Random
17,404,Random
18,410,Random
19,418,Random
20,440,Random
21,442,Random
22,449,Random
23,551,Random
24,552,Random
25,555,Random
26,557,Random
27,559,Random
28,562,Random
29,564,Random
30,565,Random
31,568,Random
32,570,Random
33,573,Random
34,573,Random
35,575,Random
36,577,Random
37,579,Random
38,582,Random
39,592,Random
40,600,Random
41,609,Random
42,611,Random
43,614,Random
44,655,Random
45,667,Random
46,1036,Random
47,1052,Random
48,1155,Random
49,1157,Random
50,1421,Random
51,1426,Random
52,1427,Random
53,1428,Random
54,1430,Random
55,1472,Random
56,1489,Random
57,1491,Random
58,1493,Random
59,1495,Random
60,1498,Random
61,1498,Random
62,1502,Random
63,1503,Random
64,1507,Random
65,1545,Random
66,1579,Random
67,1601,Random
68,1614,Random
69,1625,Random
70,1627,Random
71,1628,Random
72,1631,Random
73,1633,Random
74,1642,Random
75,1643,Random
76,1646,Random
77,1648,Random
78,1650,Random
79,1651,Random
80,1665,Random
81,1667,Random
82,1671,Random
83,1693,Random
84,1695,Random
85,1701,Random
86,1703,Random
87,1705,Random
88,1708,Random
89,1709,Random
90,1711,Random
91,1713,Random
92,1715,Random
93,1732,Random
94,1733,Random
95,1763,Random
96,1764,Random
97,1766,Random
98,1776,Random
99,1778,Random
100,1781,Random
101,1804,Random
102,1805,Random
103,1808,Random
104,1809,Random
105,1810,Random
106,1818,Random
107,1820,Random
108,1826,Random
109,1827,Random
110,1829,Random
111,1896,Random
112,1914,Random
113,1918,Random
114,1920,Random
115,1924,Random
116,1926,Random
117,1927,Random
118,1993,Random
119,1995,Random
120,2009,Random
121,2034,Random
122,2642,Random
123,2652,Random
124,2657,Random
125,2659,Random
126,2660,Random
127,2674,Random
128,2762,Random
129,2764,Random
130,2770,Random
131,2773,Random
132,2783,Random
133,3191,Random
134,3274,Random
135,3275,Random
136,3279,Random
1,9,Random
2,12,Random
3,27,Random
4,33,Random
5,35,Random
6,102,Random
7,107,Random
8,110,Random
9,129,Random
10,233,Random
11,497,Random
12,520,Random
13,523,Random
14,525,Random
15,528,Random
16,541,Random
17,543,Random
18,546,Random
19,549,Random
20,550,Random
21,552,Random
22,564,Random
23,565,Random
24,567,Random
25,582,Random
26,584,Random
27,788,Random
28,790,Random
29,792,Random
30,794,Random
31,882,Random
32,883,Random
33,924,Random
34,927,Random
35,929,Random
36,931,Random
37,945,Random
38,947,Random
39,949,Random
40,957,Random
41,967,Random
42,969,Random
43,970,Random
44,972,Random
45,997,Random
46,998,Random
47,1000,Random
48,1001,Random
49,1012,Random
50,1017,Random
51,1023,Random
52,1024,Random
53,1026,Random
54,1056,Random
55,1058,Random
56,1061,Random
57,1063,Random
58,1065,Random
59,1087,Random
60,1088,Random
61,1097,Random
62,1180,Random
63,1196,Random
64,1218,Random
65,1221,Random
66,1223,Random
67,1831,Random
68,1833,Random
69,2201,Random
70,2224,Random
71,2233,Random
72,2234,Random
73,2242,Random
74,2246,Random
75,2248,Random
76,2252,Random
77,2256,Random
78,2258,Random
79,2260,Random
80,2264,Random
81,2273,Random
82,2312,Random
83,2329,Random
84,2335,Random
85,2336,Random
86,2438,Random
87,2479,Random
88,2484,Random
89,2574,Random
90,2575,Random
91,2578,Random
92,2579,Random
93,2583,Random
94,2585,Random
95,2621,Random
96,2626,Random
97,2628,Random
98,2631,Random
99,2633,Random
100,2634,Random
101,2636,Random
102,2638,Random
103,2653,Random
104,2655,Random
105,2671,Random
106,2674,Random
107,2677,Random
108,2679,Random
109,2689,Random
110,2693,Random
111,2694,Random
112,2695,Random
113,2695,Random
114,3103,Random
115,3105,Random
116,3107,Random
117,3112,Random
118,3113,Random
119,3115,Random
120,3117,Random
121,3118,Random
122,3120,Random
123,3122,Random
124,3126,Random
125,3147,Random
126,3151,Random
127,3218,Random
