k,coverage,strat
12,47,Random
13,69,Random
14,70,Random
15,153,Random
16,175,Random
17,178,Random
18,183,Random
19,208,Random
20,210,Random
21,215,Random
22,419,Random
23,422,Random
24,427,Random
25,429,Random
26,432,Random
27,434,Random
28,436,Random
29,448,Random
30,456,Random
31,559,Random
32,569,Random
33,571,Random
34,575,Random
35,580,Random
36,581,Random
37,844,Random
38,852,Random
39,855,Random
40,856,Random
41,879,Random
42,881,Random
43,885,Random
44,888,Random
45,888,Random
46,889,Random
47,892,Random
48,914,Random
49,915,Random
50,917,Random
51,919,Random
52,960,Random
53,964,Random
54,980,Random
55,997,Random
56,1000,Random
57,1001,Random
58,1004,Random
59,1006,Random
60,1010,Random
61,1012,Random
62,1018,Random
63,1022,Random
64,1024,Random
65,1028,Random
66,1030,Random
67,1033,Random
68,1035,Random
69,1077,Random
70,1112,Random
71,1179,Random
72,1180,Random
73,1182,Random
74,1191,Random
75,1193,Random
76,1194,Random
77,1208,Random
78,1226,Random
79,1229,Random
80,1238,Random
81,1241,Random
82,1242,Random
83,1245,Random
84,1246,Random
85,1248,Random
86,1350,Random
87,1440,Random
88,1451,Random
89,1452,Random
90,1456,Random
91,1458,Random
92,1460,Random
93,1462,Random
94,2070,Random
95,2072,Random
96,2076,Random
97,2079,Random
98,2100,Random
99,2102,Random
100,2169,Random
101,2170,Random
102,2172,Random
103,2173,Random
104,2581,Random
105,2586,Random
106,2596,Random
107,2604,Random
108,2605,Random
109,2642,Random
110,2672,Random
111,2675,Random
112,2689,Random
113,2690,Random
114,3058,Random
115,3072,Random
116,3074,Random
117,3077,Random
118,3081,Random
119,3083,Random
120,3099,Random
121,3105,Random
122,3115,Random
123,3124,Random
124,3129,Random
125,3130,Random
126,3167,Random
127,3169,Random
128,3170,Random
129,3182,Random
130,3184,Random
131,3185,Random
132,3186,Random
133,3187,Random
134,3189,Random
135,3277,Random
136,3279,Random
1,13,Random
2,19,Random
3,34,Random
4,68,Random
5,151,Random
6,153,Random
7,156,Random
8,160,Random
9,163,Random
10,185,Random
11,187,Random
12,207,Random
13,210,Random
14,211,Random
15,215,Random
16,221,Random
17,232,Random
18,234,Random
19,235,Random
20,237,Random
21,238,Random
22,247,Random
23,257,Random
24,258,Random
25,348,Random
26,364,Random
27,367,Random
28,368,Random
29,369,Random
30,457,Random
31,467,Random
32,534,Random
33,577,Random
34,578,Random
35,588,Random
36,590,Random
37,602,Random
38,611,Random
39,614,Random
40,615,Random
41,617,Random
42,631,Random
43,633,Random
44,637,Random
45,638,Random
46,1246,Random
47,1248,Random
48,1249,Random
49,1272,Random
50,1275,Random
51,1277,Random
52,1380,Random
53,1382,Random
54,1385,Random
55,1390,Random
56,1407,Random
57,1408,Random
58,1612,Random
59,1616,Random
60,1617,Random
61,1620,Random
62,1634,Random
63,1636,Random
64,1640,Random
65,1652,Random
66,1656,Random
67,1657,Random
68,1659,Random
69,1661,Random
70,1662,Random
71,1666,Random
72,1669,Random
73,1670,Random
74,1680,Random
75,1682,Random
76,1683,Random
77,1686,Random
78,1688,Random
79,1951,Random
80,1953,Random
81,1957,Random
82,1959,Random
83,1961,Random
84,2028,Random
85,2035,Random
86,2037,Random
87,2039,Random
88,2054,Random
89,2056,Random
90,2060,Random
91,2062,Random
92,2064,Random
93,2066,Random
94,2072,Random
95,2109,Random
96,2110,Random
97,2111,Random
98,2111,Random
99,2136,Random
100,2138,Random
101,2140,Random
102,2142,Random
103,2145,Random
104,2146,Random
105,2148,Random
106,2158,Random
107,2180,Random
108,2183,Random
109,2197,Random
110,2203,Random
111,2233,Random
112,2236,Random
113,2277,Random
114,2279,Random
115,2283,Random
116,2286,Random
117,2654,Random
118,2676,Random
119,2677,Random
120,2678,Random
121,2679,Random
122,2682,Random
123,2784,Random
124,2784,Random
125,2786,Random
126,2787,Random
127,2789,Random
128,2826,Random
129,2834,Random
130,2835,Random
131,3243,Random
132,3245,Random
133,3249,Random
134,3270,Random
135,3271,Random
136,3277,Random
1,8,Random
2,9,Random
3,13,Random
4,20,Random
5,22,Random
6,32,Random
7,35,Random
8,38,Random
9,40,Random
10,41,Random
11,42,Random
12,43,Random
13,44,Random
14,45,Random
15,46,Random
16,54,Random
17,56,Random
18,58,Random
19,60,Random
20,62,Random
21,64,Random
22,88,Random
23,91,Random
24,128,Random
25,170,Random
26,170,Random
27,172,Random
28,173,Random
29,174,Random
30,176,Random
31,180,Random
1,6,Random
2,23,Random
3,25,Random
4,30,Random
5,37,Random
6,40,Random
7,45,Random
8,67,Random
9,76,Random
10,79,Random
11,88,Random
12,92,Random
13,93,Random
14,96,Random
15,98,Random
16,108,Random
17,716,Random
18,720,Random
19,722,Random
20,728,Random
21,742,Random
22,746,Random
23,747,Random
24,750,Random
25,758,Random
